matrix_index,block_group
370210006001,370210006001
370210006002,370210006002
370210007001,370210007001
370210008001,370210008001
370210008002,370210008002
370210008003,370210008003
370210009001,370210009001
370210009002,370210009002
370210009003,370210009003
370210010001,370210010001
370210010002,370210010002
370210011001,370210011001
370210011002,370210011002
370210011003,370210011003
370210012001,370210012001
370210012002,370210012002
370210012003,370210012003
370210012004,370210012004
370210012005,370210012005
370210013001,370210013001
370210013002,370210013002
370210013003,370210013003
370210014011,370210014011
370210014012,370210014012
370210014013,370210014013
370210014021,370210014021
370210014022,370210014022
370210015001,370210015001
370210015002,370210015002
370210016011,370210016011
370210016012,370210016012
370210016021,370210016021
370210016022,370210016022
370210017001,370210017001
370210017002,370210017002
370210018011,370210018011
370210018012,370210018012
370210018021,370210018021
370210018022,370210018022
370210019001,370210019001
370210019002,370210019002
370210020001,370210020001
370210020002,370210020002
370210020003,370210020003
370210020004,370210020004
370210021011,370210021011
370210021021,370210021021
370210021022,370210021022
370210021023,370210021023
370210022031,370210022031
370210022032,370210022032
370210022033,370210022033
370210022041,370210022041
370210022042,370210022042
370210022043,370210022043
370210022044,370210022044
370210022051,370210022051
370210022052,370210022052
370210022053,370210022053
370210022061,370210022061
370210022062,370210022062
370210023031,370210023031
370210023032,370210023032
370210023033,370210023033
370210023034,370210023034
370210023041,370210023041
370210023051,370210023051
370210023052,370210023052
370210023061,370210023061
370210023062,370210023062
370210024011,370210024011
370210024012,370210024012
370210024021,370210024021
370210024022,370210024022
370210024023,370210024023
370210025031,370210025031
370210025032,370210025032
370210025033,370210025033
370210025041,370210025041
370210025042,370210025042
370210025043,370210025043
370210025051,370210025051
370210025052,370210025052
370210025053,370210025053
370210025061,370210025061
370210025062,370210025062
370210025063,370210025063
370210026031,370210026031
370210026032,370210026032
370210026041,370210026041
370210026042,370210026042
370210026043,370210026043
370210026044,370210026044
370210026061,370210026061
370210026062,370210026062
370210026063,370210026063
370210026071,370210026071
370210026072,370210026072
370210026073,370210026073
370210026081,370210026081
370210026082,370210026082
370210026083,370210026083
370210026084,370210026084
370210026085,370210026085
370210026091,370210026091
370210027011,370210027011
370210027012,370210027012
370210027013,370210027013
370210027021,370210027021
370210027022,370210027022
370210027023,370210027023
370210027041,370210027041
370210027042,370210027042
370210027043,370210027043
370210027044,370210027044
370210027051,370210027051
370210028031,370210028031
370210028032,370210028032
370210028033,370210028033
370210028041,370210028041
370210028042,370210028042
370210028043,370210028043
370210029001,370210029001
370210029002,370210029002
370210029003,370210029003
370210030021,370210030021
370210030022,370210030022
370210030023,370210030023
370210030024,370210030024
370210030031,370210030031
370210030032,370210030032
370210030033,370210030033
370210030041,370210030041
370210030042,370210030042
370210031031,370210031031
370210031051,370210031051
370210031052,370210031052
370210031053,370210031053
370210031061,370210031061
370210031071,370210031071
370210031072,370210031072
370210031073,370210031073
370210031074,370210031074
370210031081,370210031081
370210032011,370210032011
370210032021,370210032021
370210032022,370210032022
370210032023,370210032023
370210032024,370210032024
370210032031,370210032031
370210032032,370210032032
370210032033,370210032033
370210032041,370210032041
370210032042,370210032042
370210032043,370210032043
370210032051,370210032051
370230201001,370230201001
370230201002,370230201002
370230201003,370230201003
370230202021,370230202021
370230202022,370230202022
370230202031,370230202031
370230202032,370230202032
370230202041,370230202041
370230202042,370230202042
370230203011,370230203011
370230203012,370230203012
370230203013,370230203013
370230203014,370230203014
370230203031,370230203031
370230203032,370230203032
370230203033,370230203033
370230203041,370230203041
370230203042,370230203042
370230205001,370230205001
370230205002,370230205002
370230206001,370230206001
370230206002,370230206002
370230206003,370230206003
370230206004,370230206004
370230206005,370230206005
370230208011,370230208011
370230208012,370230208012
370230208013,370230208013
370230208021,370230208021
370230208022,370230208022
370230209011,370230209011
370230209012,370230209012
370230209021,370230209021
370230209022,370230209022
370230209023,370230209023
370230210001,370230210001
370230210002,370230210002
370230210003,370230210003
370230210004,370230210004
370230211001,370230211001
370230211002,370230211002
370230211003,370230211003
370230211004,370230211004
370230212011,370230212011
370230212012,370230212012
370230212013,370230212013
370230212021,370230212021
370230212022,370230212022
370230212023,370230212023
370230212031,370230212031
370230212032,370230212032
370230213011,370230213011
370230213012,370230213012
370230213013,370230213013
370230213014,370230213014
370230213021,370230213021
370230213022,370230213022
370230213023,370230213023
370230214001,370230214001
370230214002,370230214002
370230214003,370230214003
370250405011,370250405011
370250405012,370250405012
370250405013,370250405013
370250405014,370250405014
370250405015,370250405015
370250405021,370250405021
370250405022,370250405022
370250405023,370250405023
370250406001,370250406001
370250406002,370250406002
370250406003,370250406003
370250406004,370250406004
370250407011,370250407011
370250407012,370250407012
370250407031,370250407031
370250407032,370250407032
370250407041,370250407041
370250407042,370250407042
370250407051,370250407051
370250407052,370250407052
370250408001,370250408001
370250408002,370250408002
370250408003,370250408003
370250409001,370250409001
370250410011,370250410011
370250410012,370250410012
370250410021,370250410021
370250410022,370250410022
370250411001,370250411001
370250411002,370250411002
370250411003,370250411003
370250411004,370250411004
370250412011,370250412011
370250412012,370250412012
370250412021,370250412021
370250412022,370250412022
370250412023,370250412023
370250413011,370250413011
370250413012,370250413012
370250413041,370250413041
370250413042,370250413042
370250413051,370250413051
370250413052,370250413052
370250413061,370250413061
370250413062,370250413062
370250413071,370250413071
370250413072,370250413072
370250413073,370250413073
370250415031,370250415031
370250415041,370250415041
370250415042,370250415042
370250415051,370250415051
370250415052,370250415052
370250415053,370250415053
370250415061,370250415061
370250415062,370250415062
370250415071,370250415071
370250415072,370250415072
370250416021,370250416021
370250416022,370250416022
370250416031,370250416031
370250416032,370250416032
370250416041,370250416041
370250416042,370250416042
370250416043,370250416043
370250416044,370250416044
370250417011,370250417011
370250417012,370250417012
370250417013,370250417013
370250417021,370250417021
370250417022,370250417022
370250417023,370250417023
370250419011,370250419011
370250419012,370250419012
370250419021,370250419021
370250419022,370250419022
370250419023,370250419023
370250420001,370250420001
370250420002,370250420002
370250420003,370250420003
370250421011,370250421011
370250421012,370250421012
370250421013,370250421013
370250421014,370250421014
370250421021,370250421021
370250421022,370250421022
370250422011,370250422011
370250422012,370250422012
370250422013,370250422013
370250422021,370250422021
370250422022,370250422022
370250422023,370250422023
370250423001,370250423001
370250423002,370250423002
370250423003,370250423003
370250424011,370250424011
370250424012,370250424012
370250424021,370250424021
370250424022,370250424022
370250424023,370250424023
370250424024,370250424024
370250425011,370250425011
370250425012,370250425012
370250425021,370250425021
370250425022,370250425022
370250425031,370250425031
370250425032,370250425032
370250425041,370250425041
370250426011,370250426011
370250426012,370250426012
370250426013,370250426013
370250426021,370250426021
370250426022,370250426022
370250426031,370250426031
370250426032,370250426032
370250426033,370250426033
370250426034,370250426034
370250426041,370250426041
370250426042,370250426042
370250426043,370250426043
370270301001,370270301001
370270301002,370270301002
370270301003,370270301003
370270301004,370270301004
370270301005,370270301005
370270301006,370270301006
370270302001,370270302001
370270302002,370270302002
370270302003,370270302003
370270302004,370270302004
370270303001,370270303001
370270303002,370270303002
370270303003,370270303003
370270303004,370270303004
370270304001,370270304001
370270304002,370270304002
370270304003,370270304003
370270304004,370270304004
370270305001,370270305001
370270305002,370270305002
370270305003,370270305003
370270306001,370270306001
370270306002,370270306002
370270306003,370270306003
370270307001,370270307001
370270307002,370270307002
370270307003,370270307003
370270307004,370270307004
370270307005,370270307005
370270308011,370270308011
370270308012,370270308012
370270308021,370270308021
370270308022,370270308022
370270308023,370270308023
370270309001,370270309001
370270309002,370270309002
370270309003,370270309003
370270309004,370270309004
370270310001,370270310001
370270310002,370270310002
370270310003,370270310003
370270311001,370270311001
370270311002,370270311002
370270311003,370270311003
370270311004,370270311004
370270312011,370270312011
370270312012,370270312012
370270312013,370270312013
370270312014,370270312014
370270312021,370270312021
370270312022,370270312022
370270313011,370270313011
370270313012,370270313012
370270313021,370270313021
370270313022,370270313022
370270313023,370270313023
370270314011,370270314011
370270314012,370270314012
370270314021,370270314021
370270314022,370270314022
