,NAME,Median age,Average household size,Median year structure built,Median gross rent,Median home value,Tenure by household income,Mortgage status,Owner costs as percentage of income,state,county,tract,block_group,GOID,Malepct,Femalepct,Whitepct,AfricanAmericanpct,Asianpct,Hispanicpct,TotHousingUnitspct,OccHousingUnitspct,VacHousingUnitspct,OwnerOccHousingUnitspct,RenterOccHousingUnitspct,VacUnitsForRentpct,VacUnitsForSalepct,TotHouseholdspct,MarriedCoupleHouseholdspct,SoloFemaleHouseholdpct,SoloMaleHouseholdpct,HouseholdsWithChildrenpct
3529,Johnston County,45.2,2.37,2008,895,263400,695,16.5,695,37,101,41106,1,371010411061,0.41818181818181815,0.5818181818181818,0.7143695014662756,0.20234604105571846,0.0,0.08328445747800586,0.4504398826979472,0.9348958333333334,0.06510416666666667,0.967966573816156,0.03203342618384401,0.0,0.0,0.4211143695014663,0.5807799442896936,0.0,0.052924791086350974,1.0
3530,Johnston County,40.1,2.89,2008,895,321400,1122,17.2,1122,37,101,41106,2,371010411062,0.5372227286539046,0.4627772713460954,0.759039805530234,0.09267699787298693,0.04132482528106959,0.10179276815557581,0.36675782436949256,0.9444904722452361,0.05550952775476388,0.9842105263157894,0.015789473684210527,0.0,0.5223880597014925,0.3463992707383774,0.643859649122807,0.056140350877192984,0.039473684210526314,1.0
3531,Johnston County,38.8,2.8,2003,1349,324100,1091,13.9,1091,37,101,41107,1,371010411071,0.5056940597106802,0.4943059402893198,0.5124653739612188,0.15173899661434287,0.0015389350569405972,0.31948291782086796,0.3579562942443829,0.9957007738607051,0.004299226139294927,0.9421416234887737,0.05785837651122625,0.0,0.0,0.3564173591874423,0.7556131260794473,0.07426597582037997,0.0,1.0
3532,Johnston County,28.9,3.31,1996,1331,303400,727,13.0,727,37,101,41107,2,371010411072,0.5425115617218071,0.4574884382781928,0.568125222340804,0.3329775880469584,0.007826396300249021,0.13127001067235858,0.3162575595873355,0.953880764904387,0.04611923509561305,0.8573113207547169,0.14268867924528303,0.0,0.0,0.3016720028459623,0.5047169811320755,0.14504716981132076,0.08372641509433962,1.0
3533,Johnston County,44.3,3.32,2012,895,406900,586,15.3,586,37,101,41108,1,371010411081,0.4498469908194492,0.5501530091805509,0.6402584155049303,0.3543012580754845,0.0,0.01768106086365182,0.3083985039102346,0.9779492833517089,0.022050716648291068,0.6606538895152199,0.33934611048478014,0.0,1.0,0.30159809588575315,0.8331454340473506,0.08793686583990981,0.0,1.0
3534,Johnston County,42.6,2.51,2006,1110,323900,487,13.2,487,37,101,41108,2,371010411082,0.4104089219330855,0.5895910780669145,0.6371747211895911,0.3026022304832714,0.0,0.1033457249070632,0.4133828996282528,0.9640287769784173,0.03597122302158273,0.9085820895522388,0.0914179104477612,0.0,0.0,0.39851301115241633,0.667910447761194,0.0,0.0,1.0
3535,Johnston County,53.9,1.78,1994,1497,263800,438,20.5,438,37,101,41109,1,371010411091,0.5031731640979148,0.4968268359020852,0.6817769718948323,0.19038984587488667,0.08068902991840435,0.0371713508612874,0.5611967361740707,1.0,0.0,0.7075928917609047,0.2924071082390953,,,0.5611967361740707,0.43295638126009695,0.14378029079159935,0.033925686591276254,1.0
3536,Johnston County,39.9,2.8,2001,895,317600,515,17.5,515,37,101,41109,2,371010411092,0.5409276944065484,0.4590723055934516,0.9188267394270123,0.010914051841746248,0.0,0.06616643929058663,0.3567530695770805,1.0,0.0,0.9847036328871893,0.015296367112810707,,,0.3567530695770805,0.638623326959847,0.0076481835564053535,0.021032504780114723,1.0
3537,Johnston County,49.2,2.19,2006,895,251400,395,22.3,395,37,101,41110,1,371010411101,0.5861702127659575,0.41382978723404257,0.5691489361702128,0.4127659574468085,0.0,0.0,0.4563829787234043,1.0,0.0,0.9207459207459208,0.07925407925407925,,,0.4563829787234043,0.5221445221445221,0.09324009324009325,0.07459207459207459,1.0
3538,Johnston County,34.5,3.39,2003,2106,335100,306,18.8,306,37,101,41110,2,371010411102,0.49364248317127896,0.506357516828721,0.7015706806282722,0.08975317875841436,0.014958863126402393,0.37023186237845923,0.28421839940164545,1.0,0.0,0.8052631578947368,0.19473684210526315,,,0.28421839940164545,0.6684210526315789,0.0,0.27631578947368424,1.0
